Yr,CountyName,CropName,Acres,Volume
2016,ANDREWS       ,OTHER GRAIN,"1,950","1,300"
2016,ANDREWS       ,PEANUTS,"1,900","2,217"
2016,ANDREWS       ,SORGHUM,"1,240",827
2016,ANDREWS       ,WHEAT,860,573
2017,ANDREWS       ,ALFALFA,20,38
2017,ANDREWS       ,COTTON,"8,420","9,823"
2017,ANDREWS       ,FAILED,"1,560",650
2017,ANDREWS       ,FORAGE HAY PASTURE,"1,400","1,283"
2017,ANDREWS       ,ORCHARD,30,58
2017,ANDREWS       ,OTHER GRAIN,400,267
2017,ANDREWS       ,PEANUTS,"1,200","1,500"
2017,ANDREWS       ,SORGHUM,500,333
2017,ANDREWS       ,WHEAT,500,292
2018,ANDREWS       ,ALFALFA,30,58
2018,ANDREWS       ,COTTON,"8,590","9,306"
2018,ANDREWS       ,FAILED,"1,260",525
2018,ANDREWS       ,FORAGE HAY PASTURE,760,697
2018,ANDREWS       ,ORCHARD,30,58
2018,ANDREWS       ,OTHER GRAIN,660,440
2018,ANDREWS       ,PEANUTS,"2,320","2,900"
2019,ANDREWS       ,ALFALFA,30,60
2019,ANDREWS       ,CORN,240,360
2019,ANDREWS       ,COTTON,"8,130","9,485"
2019,ANDREWS       ,FAILED,"1,420",592
2019,ANDREWS       ,FORAGE HAY PASTURE,"1,250","1,146"
2019,ANDREWS       ,ORCHARD,30,58
2019,ANDREWS       ,OTHER GRAIN,770,513
2019,ANDREWS       ,PEANUTS,"1,680","2,100"
2019,ANDREWS       ,WHEAT,200,117
2020,ANDREWS       ,ALFALFA,10,23
2020,ANDREWS       ,COTTON,"3,900","5,200"
2020,ANDREWS       ,FAILED,"7,120","2,967"
2020,ANDREWS       ,FORAGE HAY PASTURE,"1,200","1,300"
2020,ANDREWS       ,ORCHARD,30,65
2020,ANDREWS       ,OTHER GRAIN,630,473
2020,ANDREWS       ,PEANUTS,"1,760","2,347"
2020,ANDREWS       ,WHEAT,330,220
2021,ANDREWS       ,ALFALFA,10,19
2021,ANDREWS       ,COTTON,"10,680","10,680"
2021,ANDREWS       ,FAILED,"1,120",467
2021,ANDREWS       ,FORAGE HAY PASTURE,390,358
2021,ANDREWS       ,ORCHARD,30,55
2021,ANDREWS       ,OTHER GRAIN,"1,040",693
2021,ANDREWS       ,PEANUTS,"2,460","2,870"
2021,ANDREWS       ,SORGHUM,280,187
2022,ANDREWS       ,ALFALFA,10,22
2022,ANDREWS       ,CORN,0,0
2022,ANDREWS       ,COTTON,"1,750","2,188"
2022,ANDREWS       ,FAILED,"10,560","7,040"
2022,ANDREWS       ,FORAGE HAY PASTURE,930,930
2022,ANDREWS       ,GOLF COURSES,0,0
2022,ANDREWS       ,ORCHARD,30,63
2022,ANDREWS       ,OTHER,0,0
2022,ANDREWS       ,OTHER GRAIN,290,218
2022,ANDREWS       ,PEANUTS,"1,720","2,293"
2022,ANDREWS       ,RICE,0,0
2022,ANDREWS       ,SORGHUM,0,0
2022,ANDREWS       ,SOY OIL,0,0
2022,ANDREWS       ,SUGARCANE,0,0
2022,ANDREWS       ,VEGETABLES,0,0
2022,ANDREWS       ,VINEYARD,0,0
2022,ANDREWS       ,WHEAT,290,193
2023,ANDREWS       ,ALFALFA,10,21
2023,ANDREWS       ,CORN,0,0
2023,ANDREWS       ,COTTON,"7,290","9,113"
2023,ANDREWS       ,FAILED,"2,640","1,320"
2023,ANDREWS       ,FORAGE HAY PASTURE,0,0
2023,ANDREWS       ,GOLF COURSES,0,0
2023,ANDREWS       ,ORCHARD,30,60
2023,ANDREWS       ,OTHER,0,0
2023,ANDREWS       ,OTHER GRAIN,"3,240","2,160"
2023,ANDREWS       ,PEANUTS,"5,090","5,938"
2023,ANDREWS       ,RICE,0,0
2023,ANDREWS       ,SORGHUM,0,0
2023,ANDREWS       ,SOY OIL,0,0
2023,ANDREWS       ,SUGARCANE,0,0
2023,ANDREWS       ,VEGETABLES,0,0
2023,ANDREWS       ,VINEYARD,0,0
2023,ANDREWS       ,WHEAT,110,64
2024,ANDREWS       ,ALFALFA,10,12
2024,ANDREWS       ,CORN,0,0
2024,ANDREWS       ,COTTON,"8,820","10,290"
2024,ANDREWS       ,FAILED,"1,810","1,508"
2024,ANDREWS       ,FORAGE HAY PASTURE,500,542
2024,ANDREWS       ,GOLF COURSES,0,0
2024,ANDREWS       ,ORCHARD,20,40
2024,ANDREWS       ,OTHER,0,0
2024,ANDREWS       ,OTHER GRAIN,540,450
2024,ANDREWS       ,PEANUTS,"4,010","5,681"
2024,ANDREWS       ,RICE,0,0
2024,ANDREWS       ,SORGHUM,0,0
2024,ANDREWS       ,SOY OIL,0,0
2024,ANDREWS       ,SUGARCANE,0,0
2024,ANDREWS       ,VEGETABLES,0,0
2024,ANDREWS       ,VINEYARD,0,0
2024,ANDREWS       ,WHEAT,"1,330",554
1985,ANGELINA      ,FORAGE HAY PASTURE,225,450
1986,ANGELINA      ,OTHER,200,400
1987,ANGELINA      ,OTHER,200,400
1988,ANGELINA      ,OTHER,200,400
1993,ANGELINA      ,FORAGE HAY PASTURE,120,30
1994,ANGELINA      ,FORAGE HAY PASTURE,120,30
1995,ANGELINA      ,FORAGE HAY PASTURE,120,30
1996,ANGELINA      ,FORAGE HAY PASTURE,120,30
1997,ANGELINA      ,FORAGE HAY PASTURE,120,30
1998,ANGELINA      ,FORAGE HAY PASTURE,120,30
1999,ANGELINA      ,FORAGE HAY PASTURE,120,30
2000,ANGELINA      ,FORAGE HAY PASTURE,120,30
2001,ANGELINA      ,FORAGE HAY PASTURE,120,30
2002,ANGELINA      ,FORAGE HAY PASTURE,120,30
2003,ANGELINA      ,FORAGE HAY PASTURE,100,25
2003,ANGELINA      ,OTHER,260,130
2004,ANGELINA      ,FORAGE HAY PASTURE,100,25
2004,ANGELINA      ,GOLF COURSES,42,84
2004,ANGELINA      ,OTHER,250,125
2005,ANGELINA      ,FORAGE HAY PASTURE,50,25
2005,ANGELINA      ,GOLF COURSES,42,84
2005,ANGELINA      ,OTHER,200,200
2006,ANGELINA      ,FORAGE HAY PASTURE,50,21
2006,ANGELINA      ,GOLF COURSES,40,80
2006,ANGELINA      ,OTHER,200,133
2007,ANGELINA      ,FORAGE HAY PASTURE,46,15
2007,ANGELINA      ,GOLF COURSES,40,67
2007,ANGELINA      ,OTHER,200,400
2008,ANGELINA      ,GOLF COURSES,49,96
2009,ANGELINA      ,FORAGE HAY PASTURE,100,75
2009,ANGELINA      ,GOLF COURSES,165,275
2010,ANGELINA      ,FORAGE HAY PASTURE,50,50
2010,ANGELINA      ,GOLF COURSES,300,900
2010,ANGELINA      ,OTHER,120,190
2011,ANGELINA      ,FORAGE HAY PASTURE,50,42
2011,ANGELINA      ,GOLF COURSES,200,783
2011,ANGELINA      ,OTHER,100,192
2012,ANGELINA      ,FORAGE HAY PASTURE,60,45
2012,ANGELINA      ,GOLF COURSES,220,733
2012,ANGELINA      ,OTHER,100,225
